title,author,year,publisher,rank,category,link,generatedlinkignorethisexperimental,cover,synopsis,synopsissource
Tough Calls,Dick Martin,2005,Amacom,longlist,"history, technology & innovation",http://www.ft.com/cms/s/1/e08c3d50-5f48-11d9-8cca-00000e2511c8.html,https://booko.co.uk/9780674022287,Tough_calls.jpg,Tough_calls.md,http://www.amazon.co.uk/Tough-Calls-Lessons-Learned-Telecom/dp/0814472435
Conspiracy of Fools,Kurt Eichenwald,2005,Broadway Books,longlist,"energy & environment, crime & scandal",,https://booko.co.uk/9780674022287,Conspiracy_of_fools.jpg,Conspiracy_of_fools.md,http://www.randomhouse.com/book/45530/conspiracy-of-fools-by-kurt-eichenwald
Why Most Things Fail,Paul Ormerod,2005,Faber & Faber,longlist,economics,http://www.ft.com/cms/s/0/f753db62-b914-11d9-bfeb-00000e2511c8.html,https://booko.co.uk/9780674022287,Why_most_things_fail.jpg,Why_most_things_fail.md,http://www.faber.co.uk/9780571220137-why-most-things-fail.html
Sumantra Ghoshal on Management,Sumantra Ghoshal,2005,Financial Times/ Prentice Hall,longlist,leadership & management,,https://booko.co.uk/9780674022287,Sumantra_Ghoshal_on_Management.jpg,Sumantra_Ghoshal_on_Management.md,http://www.pearson.ch/HigherEducation/Management/PrinciplesofManagement/1471/9780273701835/Sumantra-Ghoshal-on-Management-A-Force.aspx
Pay Without Performance,"Lucian Bebchuk, Jesse Fried",2005,Harvard University Press,longlist,investment & markets,http://www.ft.com/cms/s/1/6537f88a-785a-11d9-9961-00000e2511c8.html,https://openlibrary.org/isbn/9780674022287,Pay_without_performance.jpg,Pay_without_performance.md,http://www.hup.harvard.edu/catalog.php?isbn=9780674022287
Fast Second,"Constantinos Markides, Paul Geroski",2005,John Wiley & Sons,shortlist,"leadership & management, technology & innovation",http://www.ft.com/cms/s/1/9566ffa8-3e47-11d9-a9d7-00000e2511c8.html,https://booko.co.uk/9780674022287,Fast_second.jpg,Fast_second.md,http://eu.wiley.com/WileyCDA/WileyTitle/productCd-0787971545.html
The Travels of a T-Shirt in the Global Economy,Pietra Rivoli,2005,John Wiley & Sons,shortlist,"globalisation, economics",http://www.ft.com/cms/s/0/6f1aff90-0096-11da-b57e-00000e2511c8.html,https://booko.co.uk/9780674022287,Travels_of_a_t_shirt.jpg,Travels_of_a_t_shirt.md,http://eu.wiley.com/WileyCDA/WileyTitle/productCd-1118950143.html
The Resilient Enterprise,Yoshi Sheffi,2005,MIT Press,longlist,leadership & management,,https://booko.co.uk/9780674022287,The_resilient_enterprise.jpg,The_resilient_enterprise.md,http://mitpress.mit.edu/books/resilient-enterprise
The Search,John Battelle,2005,Nicholas Brealey Publishing,shortlist,technology & innovation,http://www.ft.com/cms/s/0/d0156f08-3929-11da-900a-00000e2511c8.html?siteedition=uk,https://booko.co.uk/9780674022287,The_Search.jpg,The_Search.md,http://www.amazon.co.uk/The-Search-Rewrote-Business-Transformed/dp/1857883624
Bonjour Laziness,Corinne Maier,2005,Orion,longlist,workplace,,https://booko.co.uk/9780674022287,Bonjour_Laziness.jpg,Bonjour_Laziness.md,https://www.orionbooks.co.uk/books/detail.page?isbn=9780752877648
